iter	Passed	Remaining
1384	16749	43717
1385	16761	43706
1386	16774	43694
1387	16786	43684
1388	16798	43671
1389	16811	43662
1390	16823	43650
1391	16837	43642
1392	16850	43631
1393	16864	43624
1394	16878	43617
1395	16893	43613
1396	16908	43607
1397	16922	43601
1398	16938	43598
1399	16949	43584
1400	16962	43574
1401	16975	43563
1402	16988	43554
1403	16998	43537
1404	17009	43522
1405	17021	43509
1406	17032	43495
1407	17045	43486
1408	17058	43475
1409	17070	43463
1410	17083	43452
1411	17096	43444
1412	17109	43434
1413	17123	43425
1414	17136	43416
1415	17149	43407
1416	17162	43397
1417	17175	43387
1418	17186	43372
1419	17200	43365
1420	17213	43355
1421	17229	43352
1422	17244	43347
1423	17263	43352
1424	17278	43346
1425	17292	43339
1426	17306	43334
1427	17319	43323
1428	17333	43314
1429	17345	43302
1430	17359	43294
1431	17372	43284
1432	17384	43274
1433	17397	43263
1434	17412	43258
1435	17427	43253
1436	17439	43239
1437	17453	43233
1438	17466	43223
1439	17480	43215
1440	17494	43207
1441	17505	43193
1442	17518	43183
1443	17530	43170
1444	17542	43157
1445	17553	43143
1446	17567	43134
1447	17581	43127
1448	17594	43118
1449	17612	43119
1450	17625	43110
1451	17639	43103
1452	17656	43102
1453	17669	43092
1454	17681	43080
1455	17696	43075
1456	17713	43072
1457	17726	43062
1458	17737	43050
1459	17752	43043
1460	17764	43031
1461	17775	43017
1462	17786	43002
1463	17797	42986
1464	17808	42972
1465	17819	42955
1466	17828	42936
1467	17839	42920
1468	17852	42912
1469	17863	42897
1470	17875	42884
1471	17886	42868
1472	17900	42860
1473	17910	42845
1474	17924	42836
1475	17937	42827
1476	17951	42819
1477	17964	42809
1478	17977	42799
1479	17990	42787
1480	18003	42778
1481	18014	42762
1482	18026	42749
1483	18038	42737
1484	18049	42723
1485	18060	42708
1486	18072	42695
1487	18084	42682
1488	18096	42670
1489	18106	42654
1490	18117	42639
1491	18129	42626
1492	18140	42612
1493	18150	42593
1494	18160	42578
1495	18171	42562
1496	18182	42548
1497	18192	42531
1498	18205	42519
1499	18217	42506
1500	18228	42491
1501	18240	42479
1502	18251	42464
1503	18261	42447
1504	18272	42432
1505	18282	42417
1506	18294	42403
1507	18305	42388
1508	18316	42373
1509	18326	42357
1510	18337	42342
1511	18347	42324
1512	18358	42310
1513	18369	42296
1514	18380	42282
1515	18393	42270
1516	18406	42261
1517	18417	42246
1518	18428	42231
1519	18438	42214
1520	18450	42202
1521	18463	42191
1522	18476	42181
1523	18488	42169
1524	18501	42158
1525	18512	42144
1526	18525	42133
1527	18534	42115
1528	18545	42100
1529	18557	42087
1530	18569	42074
1531	18580	42060
1532	18594	42052
1533	18608	42045
1534	18622	42036
1535	18634	42023
1536	18645	42010
1537	18657	41997
1538	18667	41981
1539	18680	41970
1540	18691	41955
1541	18704	41946
1542	18717	41935
1543	18728	41921
1544	18740	41908
1545	18753	41897
1546	18764	41883
1547	18775	41868
1548	18788	41857
1549	18800	41846
1550	18812	41834
1551	18824	41820
1552	18833	41803
1553	18844	41788
1554	18858	41779
1555	18869	41766
1556	18884	41758
1557	18897	41749
1558	18912	41743
1559	18926	41736
1560	18942	41730
1561	18955	41722
1562	18970	41716
1563	18984	41707
1564	18998	41699
1565	19012	41692
1566	19024	41678
1567	19037	41667
1568	19049	41657
1569	19063	41648
1570	19076	41638
1571	19090	41629
1572	19102	41618
1573	19114	41604
1574	19125	41591
1575	19136	41576
1576	19148	41563
1577	19160	41551
1578	19172	41538
1579	19184	41525
1580	19195	41512
1581	19206	41496
1582	19217	41482
1583	19227	41465
1584	19239	41452
